,journalId_i,journalTitle_s,structId_i,docType_s,publicationDateY_i
39,90086,eLife,"[305785, 302344, 210366, 351368, 131861, 301992, 120654, 19043, 325710, 553761, 303623, 419153, 300009, 491232, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 112875, 136087, 566515, 301111, 74661, 50866, 116455, 469589, 44110, 460393, 490478, 83832, 46584, 15325, 419361, 220393, 329139, 73500, 149966, 63133, 1080927, 300875, 364331, 303576, 325015, 98298, 91189, 566334, 1080928]",ART,2021
40,90086,eLife,"[56051, 40417, 419361, 487603, 300016, 118511, 300009, 73500, 540124, 118511, 300009, 153408, 104751, 300009, 13951, 74980, 300362]",ART,2020
41,90086,eLife,"[542094, 303623, 413221, 441569, 542120, 303623, 413221, 441569, 1005052, 413221, 441569, 557826, 441569, 1005054, 454310, 300009, 1005052, 413221, 441569, 557826, 301950, 1004420]",ART,2021
42,90086,eLife,"[139744, 91134, 300122, 303623, 211251, 413289, 441569, 300122, 220680, 259761, 441569, 223732, 259761, 300091, 303623, 441569, 205119, 129671, 300009, 211251, 413289, 441569, 473693, 259761, 303623, 441569]",ART,2022
43,90086,eLife,"[366895, 1005016, 441569, 557826, 1005018, 454310, 300009, 1005016, 441569, 557826]",ART,2020
44,90086,eLife,"[168433, 11574, 410122, 441569, 451860, 1051866, 146992, 149966, 1001887, 6818, 194495, 301088, 441569, 577435, 525218, 2497, 300009]",ART,2021
45,90086,eLife,"[27730, 91134, 92972, 259761, 409745, 441569, 409748, 27730, 91134, 92972, 259761, 409745, 441569, 28493, 502406, 104751, 300009]",ART,2021
46,90086,eLife,"[1002392, 117617, 441569, 577435, 1039632, 1002318, 34586, 300009, 541740, 300045, 413221, 441569, 559566, 413221, 441569, 577435, 1079998, 2497, 300009, 1042703, 1169570, 34586, 300009, 199361, 117617, 441569, 1039632, 1002392, 117617, 441569, 577435, 1039632, 308574]",ART,2023
47,90086,eLife,"[300875, 1039632, 34586, 300009]",ART,2019
48,90086,eLife,"[166300, 1064132, 73500, 106416, 34586, 300009, 46584, 43270, 366312, 56044, 89626, 300340, 441569, 118511, 300009, 179626, 1064132, 73500, 56051, 40417, 419361, 487603, 300016, 118511, 300009]",ART,2020
49,8409,Science,"[250023, 50873, 122301, 579354, 574694, 460939, 472070, 236317, 505089, 89939, 307094, 566446, 406566, 302215, 303869, 308833, 33454, 73500, 1062146, 1061259, 300009, 411575, 419361, 441569, 1065371, 1061259, 300009, 411575, 419361, 441569, 1066529, 118511, 300009, 1061259, 300009, 411575, 419361, 441569, 115411, 579354, 574694, 460939, 202117, 349497]",ART,2023
50,8409,Science,"[1087101, 410122, 441569, 1003854, 91969, 136223, 410122, 441569, 1001887, 6818, 194495, 301088, 441569, 577435, 1001832, 34499, 81148, 443875, 116256, 443875, 217752, 443875, 441569, 448187, 443875, 1149079, 116256, 217752, 179332, 34586, 300009, 182201, 117617, 303623, 441569, 1039632, 452158, 13009, 117617, 441569, 1039632, 30303, 525218, 2497, 300009, 92792, 300016]",ART,2020
51,1850,Nucleic Acids Research,"[1100656, 441569, 1100589, 543488, 10025, 194495, 301088, 301767, 441569, 1096260, 10025, 194495, 301088, 301767, 441569, 1096051, 300009, 139719, 194495, 301088, 300284, 301088, 303623, 441569, 300074, 1005068, 303623, 557826]",ART,2022
52,1850,Nucleic Acids Research,"[1002416, 413289, 577435, 420402, 129671, 300009, 423090, 206040, 300009, 413289, 441569]",ART,2022
53,1850,Nucleic Acids Research,"[491655, 419153, 300009, 491231, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 1179764, 21582, 55375, 419361, 465913, 300306, 441569, 55375, 419361, 465913, 300016]",ART,2018
54,8409,Science,"[1003471, 59704, 564132, 300045, 300055, 564132, 413221, 441569, 1003413, 217017, 34586, 300009, 199970, 117617, 441569, 1039632, 199970, 117617, 441569, 1039632, 1004923, 1004921, 413221, 441569, 557826, 1136774, 59704, 56663, 301855]",ART,2023
55,1850,Nucleic Acids Research,"[542183, 413221, 441569, 542120, 303623, 413221, 441569, 542185, 542183, 413221, 441569, 542120, 303623, 413221, 441569, 51872, 34586, 300009]",ART,2022
56,8409,Science,"[1001887, 6818, 194495, 301088, 441569, 577435, 1043106, 1043104, 441569, 555292, 465913, 577435, 1042703, 1043104, 441569, 555292, 465913, 300016, 577435, 1042703, 1043112, 1043104, 441569, 555292, 465913, 577435, 1042703, 106380, 433771, 300694, 340667, 32944, 72398, 471291, 209503, 407023, 129943, 300214, 525218, 2497, 300009]",ART,2021
57,8409,Science,"[46674, 542174, 301492, 564132, 413221, 454310, 300009, 1004921, 413221, 441569, 557826, 1136774, 59704, 547793, 46674]",ART,2018
58,1850,Nucleic Acids Research,"[24483, 194495, 301088, 219748, 301088, 301232, 441569, 524919, 24483, 194495, 301088, 219748, 301088, 301232, 441569, 56309, 644, 51016, 441569, 2497, 300009, 301284]",ART,2019
59,1850,Nucleic Acids Research,"[562203, 211879, 1182789, 51872, 34586, 300009, 1062372]",ART,2022
60,1850,Nucleic Acids Research,"[2071, 300340, 441569, 1004757, 341038, 441569, 557826, 104752, 300009, 118511, 300009, 1051971, 2071, 300340, 441569]",ART,2020
61,1850,Nucleic Acids Research,"[541812, 300045, 541806, 413221, 441569, 514400, 1147437, 541806, 413221, 441569, 541806, 413221, 441569, 1147437, 541806, 413221, 441569, 542078, 413221, 441569, 541806, 413221, 441569, 302824, 491479, 419153, 300009, 491231, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 55375, 419361, 465913, 300016, 1179764, 21582, 55375, 419361, 465913, 300306, 441569, 21582, 55375, 419361, 465913, 300016, 300306, 441569]",ART,2021
62,1850,Nucleic Acids Research,"[354552, 300433, 245206, 73500, 1096097, 300459, 566779, 1096098, 236921, 160272, 96520, 527540, 301888, 321415, 566986, 83832, 480689, 358842, 15325, 130467, 232340, 300875, 1002434, 577435, 300717, 471291, 542746, 182329, 307014, 329139, 1002426, 300009, 300016, 303623, 441569, 577435, 1096099, 300728, 139189, 46674, 1096100, 302215, 454733, 118511, 300009, 62433, 1096102, 441569, 471291, 527826, 302530, 1096103, 524591, 300863, 350940, 1182789, 300027, 494362, 435567]",ART,2022
63,8409,Science,"[518, 81173, 300045, 419361, 441569, 465913, 300016, 1065280, 59704, 564132, 1315, 25027, 59704, 564132, 300009, 441569, 441569, 441569, 454688, 25027, 59704, 564132, 300009, 441569, 441569, 454310, 300009, 300302, 564132, 23624, 61129, 300681, 340667, 340667, 95351, 63133, 1007949, 518, 81173, 300045, 419361, 441569, 465913, 300016]",ART,2022
64,133701,Nature Machine Intelligence,"[525247, 419153, 300009, 490900, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 389097, 459, 81148, 443875, 116255, 301232, 443875, 116256, 443875, 217752, 443875, 441569, 448187, 443875]",ART,2020
65,108165,Lancet HIV,"[219689, 104751, 300009, 476572, 259761, 302259, 303623, 476572, 259761, 302259, 303623]",ART,2024
66,113058,JAMA oncology,"[1043517, 118511, 300009, 1043516, 300009, 411575, 419361, 578126, 40418, 419361, 487603, 300016, 303623, 441569, 523243, 339445, 156104, 467540, 156104, 28519, 156104, 302001]",ART,2020
67,122949,Nature Ecology & Evolution,"[10025, 194495, 301088, 301767, 441569, 160051, 2003, 33804, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 441569, 2497, 300009, 10025, 194495, 301088, 301767, 441569, 450107, 220393, 139253, 305785]",ART,2018
68,7334,Nature Biotechnology,"[417639, 2497, 300009, 543488, 10025, 194495, 301088, 301767, 441569, 1059010, 209475, 425067, 209475]",ART,2020
69,139279,Nature Metabolism,"[580269, 303510, 468263, 411232, 133089, 344982, 1063535, 118511, 300009, 1005056, 454310, 300009, 1005052, 413221, 441569, 557826, 211429, 130467, 361160]",ART,2021
70,67823,Nature Communications,"[541830, 541821, 7512, 67872, 300045, 413221, 441569, 1005010, 59704, 81173, 300016, 300045, 300340, 307314, 413221, 441569, 557826, 541827, 541821, 7512, 67872, 300045, 413221, 441569, 1005010, 59704, 81173, 300016, 300045, 300340, 307314, 413221, 441569, 557826, 1043093, 2497, 300009, 1042703, 1043077, 300009, 441569, 1042703, 1043329, 1042703, 1043329, 1042703, 76974, 301560]",ART,2023
71,67823,Nature Communications,"[180925, 529408, 129671, 300009, 423084, 206040, 300009, 413289, 441569, 544673, 35418, 6818, 194495, 301088, 300009, 301088, 441569, 74355, 340667]",ART,2018
72,67823,Nature Communications,"[1090800, 300027, 454310, 300009, 557826, 300158, 1005024, 300027, 441569, 557826, 540124, 118511, 300009]",ART,2022
73,67823,Nature Communications,"[542032, 454310, 300009, 542029, 300068, 303623, 353778, 300068, 413221, 413221, 441569, 92567, 23983, 330453, 264551, 63690, 303510, 330453, 467872, 158870, 310752, 244085, 259761, 441569, 570901, 353778, 300068, 413221]",ART,2023
74,131069,JAMA Cardiology,"[426105, 300068, 221576, 374570, 425779, 205059, 300074, 494317, 1100798, 303623, 524399, 572076, 1100589, 1067737, 454310, 300009, 1004777, 110691, 564132, 303623, 413221, 557826, 1004777, 110691, 564132, 303623, 413221, 557826]",ART,2022
