,docid,acronyme,parent_name
289,2540,VERTECS,Rennes
290,2542,VISTA,Rennes
291,11869,VisAGeS,Rennes
292,27423,BUNRAKU,Rennes
293,38419,DIONYSOS,Rennes
294,106587,MYRIADS,Rennes
295,106588,SERPICO,Rennes
296,88186,FLUMINANCE,Rennes
297,88187,CELTIQUE,Rennes
298,88245,ALF,Rennes
299,88253,VISTAS,Rennes
300,58651,CAIRN,Rennes
301,98001,KerData,Rennes
302,155295,VR4I,Rennes
303,155296,MIMETIC,Rennes
304,118032,I4S,Rennes
305,162175,CIDRE,Rennes
306,180071,Sirocco,Rennes
307,210611,SUMO,Rennes
308,210613,PANAMA,Rennes
309,210616,Hybrid,Rennes
310,191812,N/A,Rennes
311,179586,GenScale,Rennes
312,179413,Dyliss,Rennes
313,176985,FLUMINANCE,Rennes
314,241905,TEA,Rennes
315,241461,TACOMA,Rennes
316,239954,DiverSe,Rennes
317,240826,ESTASYS,Rennes
318,227330,HYCOMES,Rennes
319,420602,DECENTRALISE,Rennes
320,407335,LinkMedia,Rennes
321,491207,HYCOMES,Rennes
322,491208,SUMO,Rennes
323,491210,TEA,Rennes
324,491212,CELTIQUE,Rennes
325,491215,TAMIS,Rennes
326,491278,Sirocco,Rennes
327,491299,PANAMA,Rennes
328,491318,VisAGeS,Rennes
329,491076,KerData,Rennes
330,491181,DIONYSOS,Rennes
331,491182,TACOMA,Rennes
332,491186,CAIRN,Rennes
333,491187,PACAP,Rennes
334,491189,DiverSe,Rennes
335,490904,ASAP,Rennes
336,490909,CIDRE,Rennes
337,490914,MYRIADS,Rennes
338,491693,N/A,Rennes
339,491414,Hybrid,Rennes
340,491419,MIMETIC,Rennes
341,491438,LinkMedia,Rennes
342,491479,Dyliss,Rennes
343,491653,LACODAM,Rennes
344,491655,GenScale,Rennes
345,444746,TAMIS,Rennes
346,444748,LACODAM,Rennes
347,444749,ANJA,Rennes
348,460935,PACAP,Rennes
349,553761,Empenn,Rennes
350,525233,LS2N - équipe STACK,Rennes
351,525242,EASE,Rennes
