,Conference,Publication Date,Publication Count
138,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,1
139,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,1
140,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,1
141,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,6
142,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,2
143,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,1
144,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,1
145,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,1
146,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,1
147,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,1
148,ECC 2019 - 18th European Control Conference,2019,6
149,ECC 2019 - 18th European Control Conference,2019,5
150,ECC 2019 - 18th European Control Conference,2019,1
151,ECC 2019 - 18th European Control Conference,2019,1
152,ECC 2019 - 18th European Control Conference,2019,1
153,ECC 2019 - 18th European Control Conference,2019,1
154,ECC 2019 - 18th European Control Conference,2019,1
155,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,2
156,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,2
157,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,2
158,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
159,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
160,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
161,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
162,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
163,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
164,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,1
165,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,2
166,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,2
167,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,2
168,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
169,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
170,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
171,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
172,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
173,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
174,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
175,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,1
176,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,3
177,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,2
178,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
179,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
180,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
181,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
182,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
183,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
184,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,1
185,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,5
186,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,2
187,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
188,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
189,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
190,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
191,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
192,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
193,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
194,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
195,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
196,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,1
197,"16ème Congrès Français d'Acoustique, CFA2022",2022,6
198,"16ème Congrès Français d'Acoustique, CFA2022",2022,3
199,"16ème Congrès Français d'Acoustique, CFA2022",2022,1
200,"16ème Congrès Français d'Acoustique, CFA2022",2022,1
201,"16ème Congrès Français d'Acoustique, CFA2022",2022,1
202,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,7
203,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,3
204,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,1
205,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,6
206,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,2
207,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,1
208,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,1
209,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,1
210,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,1
211,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,1
212,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,4
213,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,2
214,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,2
215,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,2
216,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,2
217,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,2
218,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,1
219,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,1
220,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,6
221,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,3
222,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,2
223,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,4
224,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,2
225,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,2
226,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,1
227,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,1
228,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,1
229,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,1
230,IFAC 2020 - 21rst IFAC World Congress,2020,9
231,IFAC 2020 - 21rst IFAC World Congress,2020,2
232,IFAC 2020 - 21rst IFAC World Congress,2020,1
233,IFAC 2020 - 21rst IFAC World Congress,2020,1
234,IFAC 2020 - 21rst IFAC World Congress,2020,1
235,INTERSPEECH 2020,2020,11
236,INTERSPEECH 2020,2020,3
237,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,7
238,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,1
239,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,1
240,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,1
241,International Conference on Artificial Intelligence and Statistics,2020,3
242,International Conference on Artificial Intelligence and Statistics,2020,1
243,International Conference on Artificial Intelligence and Statistics,2020,1
244,International Conference on Artificial Intelligence and Statistics,2019,2
245,International Conference on Artificial Intelligence and Statistics,2019,1
246,International Conference on Artificial Intelligence and Statistics,2021,2
247,International Conference on Artificial Intelligence and Statistics,2022,1
248,International Conference on Artificial Intelligence and Statistics,2022,1
249,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,3
250,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,3
251,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,1
252,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,1
253,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,1
254,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,1
255,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,1
256,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,2
257,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,2
258,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,2
259,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,2
260,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
261,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
262,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
263,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
264,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
265,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
266,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
267,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
268,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,1
269,57th IEEE Conference on Decision and Control (CDC 2018),2018,4
270,57th IEEE Conference on Decision and Control (CDC 2018),2018,2
