,Conference,Publication Date,Team Acronym,Publication Count
133,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,COATI,4
134,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,ABS,2
135,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,FUN,2
136,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,DELYS,2
137,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,SOCRATE,1
138,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,MIMOVE,1
139,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,AGORA,1
140,ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2018,MARACAS,1
141,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,VALSE,6
142,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,NECS-POST,2
143,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,SEQUEL,1
144,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,DYOGENE,1
145,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,BIOCORE,1
146,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,Scool,1
147,CDC 2020 - 59th IEEE Conference on Decision and Control,2020,DISCO,1
148,ECC 2019 - 18th European Control Conference,2019,NECS-POST,6
149,ECC 2019 - 18th European Control Conference,2019,VALSE,5
150,ECC 2019 - 18th European Control Conference,2019,IBIS,1
151,ECC 2019 - 18th European Control Conference,2019,DEFROST,1
152,ECC 2019 - 18th European Control Conference,2019,TRIPOP,1
153,ECC 2019 - 18th European Control Conference,2019,BIOCORE,1
154,ECC 2019 - 18th European Control Conference,2019,MAMBA,1
155,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,STATIFY,2
156,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,DANTE,2
157,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,SIMSMART,2
158,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,AYANA,1
159,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,POLARIS,1
160,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,TARAN,1
161,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,RAINBOW,1
162,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,Sirocco,1
163,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,MARACAS,1
164,GRETSI 2022 - XXVIIIème Colloque Francophone de Traitement du Signal et des Images,2022,MIND,1
165,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,Parkas,2
166,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,CASH,2
